Timestamp of Report (GMT),Timestamp of Report (Local Time),Latitude,Longitude,Weather,Number of Photos Added,Ambient Audio (dB),Ambient Audio Description,Number of Steps,"What did you learn today?","Who are you with?","How many coffees did you have today?","Are you working?","How did you sleep?","Where are you?","What are you doing?","How does your stomach feel?","Choose intervention"
2018-07-27T08:58:11Z,"July 27, 2018 04:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-27T11:30:17Z,"July 27, 2018 07:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-27T12:57:19Z,"July 27, 2018 08:00:00am","","","","0","","","-1",,,,,,,"Work","Totally fine",
2018-07-27T14:56:10Z,"July 27, 2018 10:00:00am","","","","0","","","-1",,,,,,,"Work","Noticeable",
2018-07-27T20:22:00Z,"July 27, 2018 04:00:00pm","","","","0","","","-1",,,,,,,"Work","Noticeable","Exercise"
2018-07-27T21:47:25Z,"July 27, 2018 05:00:00pm","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-28T02:29:14Z,"July 27, 2018 10:00:00pm","","","","0","","","-1",,,,,,,,,
2018-07-28T11:09:57Z,"July 28, 2018 07:00:00am","","","","0","","","-1",,,,,"Ok",,,,
2018-07-28T12:55:24Z,"July 28, 2018 08:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-28T14:30:41Z,"July 28, 2018 10:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-28T17:35:36Z,"July 28, 2018 01:00:00pm","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-28T23:29:06Z,"July 28, 2018 07:00:00pm","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-29T00:43:45Z,"July 28, 2018 08:00:00pm","","","","0","","","-1",,,,,,,,"Noticeable","Exercise"
2018-07-29T02:04:42Z,"July 28, 2018 10:00:00pm","","","","0","","","-1",,,,,,,,,
2018-07-29T11:59:51Z,"July 29, 2018 07:00:00am","","","","0","","","-1",,,,,"Great",,,,
2018-07-29T12:51:12Z,"July 29, 2018 08:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-29T14:55:37Z,"July 29, 2018 10:00:00am","","","","0","","","-1",,,,,,,"QS work","Noticeable",
2018-07-29T16:48:13Z,"July 29, 2018 12:00:00pm","","","","0","","","-1",,,,,,,"QS work","Noticeable",
